month,question_id,question,ai,brand_mentioned,competitor_a,competitor_b,competitor_c,sentiment,action_needed,raw_answer_url
YYYY-MM,Q1,"<question 1 from Phase 1>",chatgpt,,,,,,,
YYYY-MM,Q1,"<question 1 from Phase 1>",claude,,,,,,,
YYYY-MM,Q1,"<question 1 from Phase 1>",gemini,,,,,,,
YYYY-MM,Q2,"<question 2 from Phase 1>",chatgpt,,,,,,,
YYYY-MM,Q2,"<question 2 from Phase 1>",claude,,,,,,,
YYYY-MM,Q2,"<question 2 from Phase 1>",gemini,,,,,,,
YYYY-MM,Q3,"<question 3 from Phase 1>",chatgpt,,,,,,,
YYYY-MM,Q3,"<question 3 from Phase 1>",claude,,,,,,,
YYYY-MM,Q3,"<question 3 from Phase 1>",gemini,,,,,,,
YYYY-MM,Q4,"<question 4 from Phase 1>",chatgpt,,,,,,,
YYYY-MM,Q4,"<question 4 from Phase 1>",claude,,,,,,,
YYYY-MM,Q4,"<question 4 from Phase 1>",gemini,,,,,,,
YYYY-MM,Q5,"<question 5 from Phase 1>",chatgpt,,,,,,,
YYYY-MM,Q5,"<question 5 from Phase 1>",claude,,,,,,,
YYYY-MM,Q5,"<question 5 from Phase 1>",gemini,,,,,,,
YYYY-MM,B1,"Tell me about <brand>",chatgpt,,,,,,,
YYYY-MM,B1,"Tell me about <brand>",claude,,,,,,,
YYYY-MM,B1,"Tell me about <brand>",gemini,,,,,,,
YYYY-MM,B2,"<brand> vs <competitor> compare",chatgpt,,,,,,,
YYYY-MM,B2,"<brand> vs <competitor> compare",claude,,,,,,,
YYYY-MM,B2,"<brand> vs <competitor> compare",gemini,,,,,,,
YYYY-MM,B3,"Downsides of <brand>?",chatgpt,,,,,,,
YYYY-MM,B3,"Downsides of <brand>?",claude,,,,,,,
YYYY-MM,B3,"Downsides of <brand>?",gemini,,,,,,,
