question_id,question,ai,run,brand_mentioned,competitor_a,competitor_b,competitor_c,sentiment,raw_answer_url
Q1,"<question 1 — no brand name>",chatgpt,1,,,,,,
Q1,"<question 1 — no brand name>",chatgpt,2,,,,,,
Q1,"<question 1 — no brand name>",chatgpt,3,,,,,,
Q1,"<question 1 — no brand name>",claude,1,,,,,,
Q1,"<question 1 — no brand name>",claude,2,,,,,,
Q1,"<question 1 — no brand name>",claude,3,,,,,,
Q1,"<question 1 — no brand name>",gemini,1,,,,,,
Q1,"<question 1 — no brand name>",gemini,2,,,,,,
Q1,"<question 1 — no brand name>",gemini,3,,,,,,
Q2,"<question 2>",chatgpt,1,,,,,,
Q2,"<question 2>",chatgpt,2,,,,,,
Q2,"<question 2>",chatgpt,3,,,,,,
Q2,"<question 2>",claude,1,,,,,,
Q2,"<question 2>",claude,2,,,,,,
Q2,"<question 2>",claude,3,,,,,,
Q2,"<question 2>",gemini,1,,,,,,
Q2,"<question 2>",gemini,2,,,,,,
Q2,"<question 2>",gemini,3,,,,,,
Q3,"<question 3>",chatgpt,1,,,,,,
Q3,"<question 3>",chatgpt,2,,,,,,
Q3,"<question 3>",chatgpt,3,,,,,,
Q3,"<question 3>",claude,1,,,,,,
Q3,"<question 3>",claude,2,,,,,,
Q3,"<question 3>",claude,3,,,,,,
Q3,"<question 3>",gemini,1,,,,,,
Q3,"<question 3>",gemini,2,,,,,,
Q3,"<question 3>",gemini,3,,,,,,
Q4,"<question 4>",chatgpt,1,,,,,,
Q4,"<question 4>",chatgpt,2,,,,,,
Q4,"<question 4>",chatgpt,3,,,,,,
Q4,"<question 4>",claude,1,,,,,,
Q4,"<question 4>",claude,2,,,,,,
Q4,"<question 4>",claude,3,,,,,,
Q4,"<question 4>",gemini,1,,,,,,
Q4,"<question 4>",gemini,2,,,,,,
Q4,"<question 4>",gemini,3,,,,,,
Q5,"<question 5>",chatgpt,1,,,,,,
Q5,"<question 5>",chatgpt,2,,,,,,
Q5,"<question 5>",chatgpt,3,,,,,,
Q5,"<question 5>",claude,1,,,,,,
Q5,"<question 5>",claude,2,,,,,,
Q5,"<question 5>",claude,3,,,,,,
Q5,"<question 5>",gemini,1,,,,,,
Q5,"<question 5>",gemini,2,,,,,,
Q5,"<question 5>",gemini,3,,,,,,
